DC Offset	Amplitude	Zfreq	Zreal	Zimag	Zphz	Zmod
0.450000	0.001500	31.672298	0.001181	-0.003527	-71.483826	0.003720	
0.450000	0.001500	28.237953	0.001194	-0.003939	-73.132408	0.004116	
0.450000	0.001500	24.933512	0.001211	-0.004438	-74.737778	0.004600	
0.450000	0.001500	22.536058	0.001229	-0.004885	-75.876617	0.005037	
0.450000	0.001500	19.862289	0.001251	-0.005515	-77.218033	0.005655	
0.450000	0.001500	17.755682	0.001295	-0.006163	-78.134346	0.006297	
0.450000	0.001500	15.836149	0.001317	-0.006882	-79.166664	0.007007	
0.450000	0.001500	14.204545	0.001343	-0.007653	-80.049667	0.007769	
0.450000	0.001500	12.600806	0.001381	-0.008600	-80.878510	0.008710	
0.450000	0.001500	11.268029	0.001390	-0.009594	-81.758545	0.009694	
0.450000	0.001500	9.931145	0.001476	-0.010850	-82.252129	0.010950	
0.450000	0.001500	8.844339	0.001531	-0.012124	-82.800491	0.012220	
0.450000	0.001500	7.944915	0.001571	-0.013459	-83.341393	0.013550	
0.450000	0.001500	7.102273	0.001639	-0.015001	-83.765594	0.015090	
0.450000	0.001500	6.317385	0.001736	-0.016829	-84.110680	0.016918	
0.450000	0.001500	5.634015	0.001837	-0.018848	-84.432419	0.018937	
0.450000	0.001500	5.008013	0.001924	-0.021143	-84.801041	0.021230	
0.450000	0.001500	4.422170	0.002065	-0.023852	-85.051414	0.023941	
0.450000	0.001500	3.945707	0.002212	-0.026674	-85.259155	0.026766	
0.450000	0.001500	3.535068	0.002359	-0.029690	-85.456688	0.029784	
0.450000	0.001500	3.158693	0.002536	-0.033142	-85.624184	0.033239	
0.450000	0.001500	2.817007	0.002758	-0.037058	-85.743629	0.037161	
0.450000	0.001500	2.504006	0.002994	-0.041600	-85.883850	0.041708	
0.450000	0.001500	2.253606	0.003287	-0.046105	-85.921501	0.046222	
0.450000	0.001500	1.998082	0.003643	-0.051862	-85.982056	0.051990	
0.450000	0.001500	1.767534	0.003962	-0.058432	-86.120712	0.058566	
0.450000	0.001500	1.584686	0.004454	-0.065026	-86.081436	0.065179	
0.450000	0.001500	1.420455	0.004902	-0.072346	-86.123650	0.072512	
